#,Id,key,English,Chinese,TraditionalChinese
,58,desc.qiaozui,Upward mouth with a grey black back and silver belly. Feeds mostly on floating microorganisms.,嘴巴上翘，体背灰黑色，腹部银色，鳍呈深灰色。以水中的浮游生物为主要食物来源。,嘴巴上翹，體背灰黑色，腹部銀色，鰭呈深灰色。以水中的浮游生物為主要食物來源。
,59,desc.jun,"""King of fresh water"" likes fast moving areas, strong and fearsome.",被称为“淡水之王”。喜欢于清澈、湍急的江河活动，身体小巧，力气很大，非常凶猛。,被稱為“淡水之王”。喜歡於清澈、湍急的江河活動，身體小巧，力氣很大，非常兇猛。
,60,desc.daoqiu,"Likes to live in vegetation, ominvorous. Looks a bit like an eel.",生活于多水草的浅水区，是肉食性杂鱼。长似鳗鱼状，头小呈尖三角状。,生活於多水草的淺水區，是肉食性雜魚。長似鰻魚狀，頭小呈尖三角狀。
,61,desc.sanjiao,Lives in ponds and smaller streams. Small mouth with a hump.,生活于池塘、河沟。头小唇厚，背部隆起，而后急剧下斜，似三角形。,生活於池塘、河溝。頭小唇厚，背部隆起，而後急劇下斜，似三角形。
,62,desc.bangui,Yellow to grey in color with an off white belly. Spotted all over.,体呈黄褐色及至灰褐色，腹部黄白色。全身有圆形的大小不等的黑斑。,體呈黃褐色及至灰褐色，腹部黃白色。全身有圓形的大小不等的黑斑。
,63,desc.luofei,"Short body, big back, has grey spots. Will live near the surface or the bottom depending on temperature and size.",体短、背高。尾鳍圆形，具银灰色斑点。随水温变化或鱼体大小改变水层。,體短、背高。尾鰭圓形，具銀灰色斑點。隨水溫變化或魚體大小改變水層。
,64,fish.cur,Current,本次钓获,本次釣獲
,65,fish.hist,Record,历史钓获,歷史釣獲
,66,fish.max,Longest,最长：,最長：
,67,fish.min,Shortest,最短：,最短：
,68,musicgame.joytips,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.,点击屏幕<color='red'>左</color>或<color='red'>右</color>\n激活进入齿轮的音符,點擊螢幕<color='red'>左</color>或<color='red'>右</color>\n啟動進入齒輪的音符
,69,musicgame.tips,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.,按下键盘<color='red'>←</color>或<color='red'>→</color>\n激活进入齿轮的音符,按下鍵盤<color='red'>←</color>或<color='red'>→</color>\n啟動進入齒輪的音符
,70,monsters.desc,How are you going to attack Mighty Heroine?,要怎样对付威风女侠？,要怎樣對付威風女俠？
,71,monsters.skill1,Pew Pew Laser Beam,啾啾光线,啾啾光線
,72,monsters.skill2,Bang Bang Sound Wave,嗡嗡声波,嗡嗡聲波
,73,monsters.skill3,Snip Snip Scissors,咔嚓剪刀,哢嚓剪刀
,74,monsters.role1name,Scissor Monster,剪刀怪,剪刀怪
,75,monsters.role2name,Mighty Heroine,威风女侠,威風女俠
,76,monsters.hp1,HP:,体力：,體力：
,77,monsters.hp2,HP:,体力：,體力：
,78,end.tips,To be continued,未完待续,未完待續
,79,answer11,BBQ,烧烤,燒烤
,80,answer12,Honey Locust,皂荚,皂莢
,81,answer21,Chimney,烟囱,煙囪
,82,answer22,Flask,酒壶,酒壺
,83,answer31,Tower,宝塔,寶塔
,84,answer32,Gate,城门,城門
,85,shichang1,Coming to buy groceries? It's all fresh today.,来买菜吗？今天的菜都很新鲜哦。,來買菜嗎？今天的菜都很新鮮哦。
,86,shichang2,"Chicken, Duck, Pork?",鸡肉、鸭肉，还是猪肉？,雞肉、鴨肉，還是豬肉？
,87,shichang3,"Apples, Pears are 2 for 1, peaches too!",苹果、梨子一块二，早熟的桃子也可以看一下。,蘋果、梨子一塊二，早熟的桃子也可以看一下。
,88,shichang4,"We raised these chickens, want to take a look?",自己养的鸡鸭，阿兄来瞧一瞧？,自己養的雞鴨，阿兄來瞧一瞧？
