#,Id,key,Chinese,TraditionalChinese
,53,desc.banghua,Long body with a short head， slightly yellow on the back and belly. Lots of black spots.,Long body with a short head， slightly yellow on the back and belly. Lots of black spots.
,54,desc.tuling,Very scaly， no teeth， likes to eat rotting things and algae.,Very scaly， no teeth， likes to eat rotting things and algae.
,55,desc.yueli,Lives in slower moving parts. Big head with spots on the tail.,Lives in slower moving parts. Big head with spots on the tail.
,56,desc.makou,Small fish that lives near the surface， eats smaller fish， bugs， and small shrimp.,Small fish that lives near the surface， eats smaller fish， bugs， and small shrimp.
,57,desc.landao,Lives near the surface， grey back， silver belly. Fast swimmer and hunts near the shore,Lives near the surface， grey back， silver belly. Fast swimmer and hunts near the shore
,58,desc.qiaozui,Upward mouth with a grey black back and silver belly. Feeds mostly on floating microorganisms.,Upward mouth with a grey black back and silver belly. Feeds mostly on floating microorganisms.
,59,desc.jun,“King of Fresh Water” likes fast moving areas， strong and fearsome.,“King of Fresh Water” likes fast moving areas， strong and fearsome.
,60,desc.daoqiu,Likes to live in vegetation， ominvorous. Looks a bit like an eel.,Likes to live in vegetation， ominvorous. Looks a bit like an eel.
,61,desc.sanjiao,Lives in ponds and smaller streams. Small mouth with a hump.,Lives in ponds and smaller streams. Small mouth with a hump.
,62,desc.bangui,Yellow to grey in color with an off white belly. Spotted all over.,Yellow to grey in color with an off white belly. Spotted all over.
,63,desc.luofei,Short body， big back， has grey spots. Will live near the surface or the bottom depending on temperature and size.,Short body， big back， has grey spots. Will live near the surface or the bottom depending on temperature and size.
,64,fish.cur,Current,Current
,65,fish.hist,Record,Record
,66,fish.max,++,++
,67,fish.min,- -,- -
,68,musicgame.joytips,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.
,69,musicgame.tips,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.,Push <color='red'>Left</color> o r<color='red'>Right</color>\n to move the gears.
,70,monsters.desc,How are you going to attack Mighty Heroine?,How are you going to attack Mighty Heroine?
,71,monsters.skill1,Pew Pew Laser Beam,Pew Pew Laser Beam
,72,monsters.skill2,Bang Bang Sound Wave,Bang Bang Sound Wave
,73,monsters.skill3,Snip Snip Scissors,Snip Snip Scissors
,74,monsters.role1name,Scissor Monster,Scissor Monster
,75,monsters.role2name,Mighty Heroine,Mighty Heroine
,76,monsters.hp1,HP:,HP:
,77,monsters.hp2,HP:,HP:
,78,end.tips,To be continued,To be continued
,79,answer11,BBQ,BBQ
,80,answer12,Fruit,Fruit
,81,answer21,Flue,Flue
,82,answer22,Flask,Flask
,83,answer31,Tower,Tower
,84,answer32,Gate,Gate
,85,shichang1,Coming to buy groceries? It's all fresh today.,Coming to buy groceries? It's all fresh today.
,86,shichang2,Chicken， Duck， Pork?,Chicken， Duck， Pork?
,87,shichang3,Apples， Pears are 2 for 1， peaches too!,Apples， Pears are 2 for 1， peaches too!
,88,shichang4,We raised these chickens， want to take a look?,We raised these chickens， want to take a look?
