Key,Description,Standard,Chinese,TraditionalChinese,English
SAY.mozicheng.55.莫子成,,我奶越来越像娃仔了，爱讲俏皮话。,我奶越来越像娃仔了，爱讲俏皮话。,我奶越來越像娃仔了，愛講俏皮話。,Grandma's more and more like a kid， she's being more of a wisecrack.
SAY.mozicheng.56.莫子成,,我觉得她有时候是故意装傻。,我觉得她有时候是故意装傻。,我覺得她有時候是故意裝傻。,Sometimes I feel like she's pretending like she doesn't understand.
SAY.mozicheng.57.莫子成,,如果那样，也是好事，证明她人开心点了。,如果那样，也是好事，证明她人开心点了。,如果那樣，也是好事，證明她人開心點了。,If that's so， that's good too， means she's happier.
SAY.mozicheng.58.莫子成,,离开家乡和亲人越久，思念的情绪就越深。,离开家乡和亲人越久，思念的情绪就越深。,離開家鄉和親人越久，思念的情緒就越深。,The longer you're away from  home and family， the harder it is.
SAY.mozicheng.59.莫子成,,是真的咩？我不晓得。,是真的咩？我不晓得。,是真的咩？我不曉得。,Yeah? I don't know.
SAY.mozicheng.60.莫子成,,我没有离开过芷滨镇。,我没有离开过芷滨镇。,我沒有離開過芷濱鎮。,I've never left Zhibin.
SAY.mozicheng.61.莫子成,,跟我最亲的那几个人，也没有和我分开过。,跟我最亲的那几个人，也没有和我分开过。,跟我最親的那幾個人，也沒有和我分開過。,The peopel closest to me， we've never been apart.
SAY.mozicheng.62.莫子成,,我开始知道照相有什么意义了。,我开始知道照相有什么意义了。,我開始知道照相有什麼意義了。,I'm learning more about what pictures mean.
SAY.mozicheng.63.莫子成,,它可以记住一些会消失的东西。,它可以记住一些会消失的东西。,它可以記住一些會消失的東西。,It can remember things that will disappear.
SAY.mozicheng.64.莫子成,,而且记住的那些时刻，我还可以选比较好的。,而且记住的那些时刻，我还可以选比较好的。,而且記住的那些時刻，我還可以選比較好的。,And I can pick the better times to remember.
SAY.mozicheng.65.莫子成,,看到我奶现在的样子，有时候也觉得蛮好的。,看到我奶现在的样子，有时候也觉得蛮好的。,看到我奶現在的樣子，有時候也覺得蠻好的。,Seeing Grandma now， I think it's pretty good.
SAY.mozicheng.66.莫子成,,什么她都慢慢忘记了，连悲伤也会慢慢消失。,什么她都慢慢忘记了，连悲伤也会慢慢消失。,什麼她都慢慢忘記了，連悲傷也會慢慢消失。,She'll forget everything slowly， even sadness.
SAY.xiaojie.29.主角,,晓洁。,晓洁。,曉潔。,Xiaojie.
SAY.xiaojie.31.女学生晓洁,,覃叔。,覃叔。,覃叔。,Uncle Tan.
SAY.xiaojie.90.主角,,看书呀？,看书呀？,看書呀？,Reading?
SAY.xiaojie.91.女学生晓洁,,嗯，一个叫茴逸的作家写的散文集。,嗯，一个叫茴逸的作家写的散文集。,嗯，一個叫茴逸的作家寫的散文集。,Yes， a collection of essays from Huiyi.
SAY.xiaojie.92.女学生晓洁,,她是北方人，写的东西很多我都没见过。,她是北方人，写的东西很多我都没见过。,她是北方人，寫的東西很多我都沒見過。,He's a Northener， lots of things he writes about I've never seen.
SAY.xiaojie.93.女学生晓洁,,我觉得还挺有意思的，最近都靠它消磨时光。,我觉得还挺有意思的，最近都靠它消磨时光。,我覺得還挺有意思的，最近都靠它消磨時光。,I think it's interesting， so I use it to pass the time.
SAY.xiaojie.95.女学生晓洁,,“妈妈为了省钱，,“妈妈为了省钱，,“媽媽為了省錢，,“In order to save money
SAY.xiaojie.96.女学生晓洁,,冬天去姥姥家不舍得坐五毛钱的公交车。,冬天去姥姥家不舍得坐五毛钱的公交车。,冬天去姥姥家不舍得坐五毛錢的公車。,Mom didn't want to spend the 5 cents for the bus to get her to Grandma's house in the Winter.
SAY.xiaojie.97.女学生晓洁,,去姥姥家要走半小时，,去姥姥家要走半小时，,去姥姥家要走半小時，,Walking there takes half an hour， 
SAY.xiaojie.98.女学生晓洁,,妈妈就带着我从家门口开始滚雪球，,妈妈就带着我从家门口开始滚雪球，,媽媽就帶著我從家門口開始滾雪球，,So Mom had me start rolling a snowball when we left the house，
SAY.xiaojie.99.女学生晓洁,,一直滚到姥姥家，雪球就变大了。,一直滚到姥姥家，雪球就变大了。,一直滾到姥姥家，雪球就變大了。,We rolled it all the way to Grandma's house， so the snowball got big.
SAY.xiaojie.100.女学生晓洁,,然后我们再在姥姥家把雪球变成雪人。,然后我们再在姥姥家把雪球变成雪人。,然後我們再在姥姥家把雪球變成雪人。,Then we made it into a snowman.
SAY.xiaojie.101.女学生晓洁,,具体的情景，我已经不记得了。,具体的情景，我已经不记得了。,具體的情景，我已經不記得了。,What the scene looked like I don't remember.
SAY.xiaojie.102.女学生晓洁,,印象里唯独有滚雪球的片段。”,印象里唯独有滚雪球的片段。”,印象裏唯獨有滾雪球的片段。”,I only remember rolling the snowball”
SAY.xiaojie.103.女学生晓洁,,“每当街头卖爆米花的老爷爷出现时，,“每当街头卖爆米花的老爷爷出现时，,“每當街頭賣爆米花的老爺爺出現時，,“Whenever the Grandpa that sells popcorn shows up，
SAY.xiaojie.104.女学生晓洁,,身后总是跟着我们这群孩子。,身后总是跟着我们这群孩子。,身後總是跟著我們這群孩子。,we kids are always following him.
SAY.xiaojie.105.女学生晓洁,,其实大家并不是去买爆米花，,其实大家并不是去买爆米花，,其實大家並不是去買爆米花，,Not becuase we wanted to buy popcorn，
SAY.xiaojie.106.女学生晓洁,,而是为了看爆米花爆出时的情景。,而是为了看爆米花爆出时的情景。,而是為了看爆米花爆出時的情景。,we wanted to watch as the popcorn was popped.
SAY.xiaojie.107.女学生晓洁,,他牵着马，马背上驮着老式爆米花机。,他牵着马，马背上驮着老式爆米花机。,他牽著馬，馬背上馱著老式爆米花機。,He would lead his horse， the horse would have the old popcorn machine.
SAY.xiaojie.108.女学生晓洁,,到了他固定呆的位置，架起火就开始爆米花。,到了他固定呆的位置，架起火就开始爆米花。,到了他固定呆的位置，架起火就開始爆米花。,He'd get to his spot， setup shop and start making popocorn.
SAY.xiaojie.109.女学生晓洁,,随着嘭的一声，爆米花就爆好了。,随着嘭的一声，爆米花就爆好了。,隨著嘭的一聲，爆米花就爆好了。,And “Boom” the popcorn is popped.
SAY.xiaojie.110.女学生晓洁,,更多的人也因此知道是他来了，,更多的人也因此知道是他来了，,更多的人也因此知道是他來了，,With that sound， more people would know he is here.
SAY.xiaojie.111.女学生晓洁,,纷纷回家拿点米，来换爆米花吃。,纷纷回家拿点米，来换爆米花吃。,紛紛回家拿點米，來換爆米花吃。,Everyone would go home and get some rice to barter for popcorn.
SAY.xiaojie.112.女学生晓洁,,真是一幅自然又幸福的画面。”,真是一幅自然又幸福的画面。”,真是一幅自然又幸福的畫面。”,A very happy scene.”
SAY.xiaojie.113.女学生晓洁,,“那时候上学路上是蔚蓝色天空，,“那时候上学路上是蔚蓝色天空，,“那時候上學路上是蔚藍色天空，,“The sky was a bright blue color that day to school，
SAY.xiaojie.114.女学生晓洁,,如茵草地里夹杂着泛白的石头。,如茵草地里夹杂着泛白的石头。,如茵草地裏夾雜著泛白的石頭。,There were white pebbles in the grass.
SAY.xiaojie.115.女学生晓洁,,在村里上幼儿园时，,在村里上幼儿园时，,在村裏上幼稚園時，,When I was going to kindergarten，
SAY.xiaojie.116.女学生晓洁,,要走过一段铺着煤渣的大马路。,要走过一段铺着煤渣的大马路。,要走過一段鋪著煤渣的大馬路。,we had to cross a big road covered with cinder.
SAY.xiaojie.117.女学生晓洁,,运煤车走过后留下一团团黑气，,运煤车走过后留下一团团黑气，,運煤車走過後留下一團團黑氣，,The coal trucks would always leave a giant black cloud，
SAY.xiaojie.118.女学生晓洁,,一起的小孩总会无意义地尖叫，,一起的小孩总会无意义地尖叫，,一起的小孩總會無意義地尖叫，,And the kids would always scream unintentionally，
SAY.xiaojie.119.女学生晓洁,,然后兴冲冲把几块石头扔向离去的车的背影。,然后兴冲冲把几块石头扔向离去的车的背影。,然後興沖沖把幾塊石頭扔向離去的車的背影。,Then we would excitedly throw rocks a the leaving car.
SAY.xiaojie.120.女学生晓洁,,我们一起在上学途中的山坡爬上爬下，,我们一起在上学途中的山坡爬上爬下，,我們一起在上學途中的山坡爬上爬下，,We would climb everywhere on the hill to school，
SAY.xiaojie.121.女学生晓洁,,在到达教室前，,在到达教室前，,在到達教室前，,And before getting to the classroom，
SAY.xiaojie.122.女学生晓洁,,把自己弄成一只灰头土脸的脏猫。,把自己弄成一只灰头土脸的脏猫。,把自己弄成一只灰頭土臉的髒貓。,we would look like dirty cats.
SAY.xiaojie.123.女学生晓洁,,这并非无忧无虑的孩子的单纯放纵，,这并非无忧无虑的孩子的单纯放纵，,這並非無憂無慮的孩子的單純放縱，,This wasn't just carefree kids letting loose，
SAY.xiaojie.124.女学生晓洁,,富有心机的我们是有的放矢——,富有心机的我们是有的放矢——,富有心機的我們是有的放矢——,We had a plan and a goal to accomplish with it-
SAY.xiaojie.126.女学生晓洁,,记忆中有张模糊的面容总会放下手上的团扇，,记忆中有张模糊的面容总会放下手上的团扇，,記憶中有張模糊的面容總會放下手上的團扇，,A vague figure would always put down their round fan，
SAY.xiaojie.127.女学生晓洁,,用湿毛巾一点一点温柔地擦拭我们的脸庞。,用湿毛巾一点一点温柔地擦拭我们的脸庞。,用濕毛巾一點一點溫柔地擦拭我們的臉龐。,and wipe our faces gently with a wet towel.
SAY.xiaojie.128.女学生晓洁,,那样，我们又能少上很久的课。”,那样，我们又能少上很久的课。”,那樣，我們又能少上很久的課。”,That way， we would have less class time.”
SAY.xiaojie.129.女学生晓洁,,“妈妈总是带着打趣和调侃，,“妈妈总是带着打趣和调侃，,“媽媽總是帶著打趣和調侃，,“Mom always loved to joke and tease，
SAY.xiaojie.130.女学生晓洁,,讲述当初究竟是如何被爸爸‘欺骗”了。,讲述当初究竟是如何被爸爸‘欺骗”了。,講述當初究竟是如何被爸爸‘欺騙”了。,And retell how Dad got “Tricked”.
SAY.xiaojie.131.女学生晓洁,,事情其实是这样的——,事情其实是这样的——,事情其實是這樣的——,But really it went like this-
SAY.xiaojie.132.女学生晓洁,,爸爸为了在见相亲对象的时候，,爸爸为了在见相亲对象的时候，,爸爸為了在見相親對象的時候，,When Dad was going on arranged dates，
SAY.xiaojie.133.女学生晓洁,,打扮得精神体面一些，,打扮得精神体面一些，,打扮得精神體面一些，,he would dress up nicely，
SAY.xiaojie.134.女学生晓洁,,特地借了爷爷单位的一身制服，,特地借了爷爷单位的一身制服，,特地借了爺爺單位的一身制服，,and he'd borrow a uniform from my Grandpa，
SAY.xiaojie.135.女学生晓洁,,结果被妈妈误以为是警察职业，,结果被妈妈误以为是警察职业，,結果被媽媽誤以為是員警職業，,But mom would mistake him for a cop，
SAY.xiaojie.136.女学生晓洁,,妈妈对家里人声称就非这个人不嫁了。,妈妈对家里人声称就非这个人不嫁了。,媽媽對家裏人聲稱就非這個人不嫁了。,So mom told her family she has to marry him.
SAY.xiaojie.137.女学生晓洁,,后来结了婚才知道原来是搞了大乌龙。,后来结了婚才知道原来是搞了大乌龙。,後來結了婚才知道原來是搞了大烏龍。,But only after they married was it a big misunderstanding，
SAY.xiaojie.138.女学生晓洁,,那套并不是公安制服，而是电业局工作服。”,那套并不是公安制服，而是电业局工作服。”,那套並不是公安制服，而是電業局工作服。”,It wasn't a police officer uniform， but the uniform for the electricity department.”
SAY.xiaojie.139.女学生晓洁,,“小学时的每天早晨，,“小学时的每天早晨，,“小學時的每天早晨，,“Every morning in grade school，
SAY.xiaojie.140.女学生晓洁,,妈妈都会给我扎左右一边一个紧紧的麻花辫，,妈妈都会给我扎左右一边一个紧紧的麻花辫，,媽媽都會給我紮左右一邊一個緊緊的麻花辮，,Mom would always give me pig tails，
SAY.xiaojie.141.女学生晓洁,,当我回到学校，头皮一整天都是紧绷的。”,当我回到学校，头皮一整天都是紧绷的。”,當我回到學校，頭皮一整天都是緊繃的。”,and when I go to school my scalp would be so tight.”
SAY.xiaojie.142.女学生晓洁,,“有一次，我们跑到即将收成的小麦地里玩，,“有一次，我们跑到即将收成的小麦地里玩，,“有一次，我們跑到即將收成的小麥地裏玩，,“One time， we ran to the wheat fields to play， they were almost ready for harvesting，
SAY.xiaojie.143.女学生晓洁,,把那些庄稼毁坏到了无可救药的地步，,把那些庄稼毁坏到了无可救药的地步，,把那些莊稼毀壞到了無可救藥的地步，,And we ruined those fields to where they couldn't be salvaged，
SAY.xiaojie.144.女学生晓洁,,最后被主人发现了，不让我们离开。,最后被主人发现了，不让我们离开。,最後被主人發現了，不讓我們離開。,The owner found out， and wouldn't let us leavel.
SAY.xiaojie.145.女学生晓洁,,直到通知了大人，,直到通知了大人，,直到通知了大人，,Until they told the adults，
SAY.xiaojie.146.女学生晓洁,,父母来赔了钱，才能领我们走。,父母来赔了钱，才能领我们走。,父母來賠了錢，才能領我們走。,Parents had to pay money in order to take us home.
SAY.xiaojie.147.女学生晓洁,,当时爸爸的那个眼神，,当时爸爸的那个眼神，,當時爸爸的那個眼神，,The way my dad looked，
SAY.xiaojie.148.女学生晓洁,,如今想来我都心有余悸。,如今想来我都心有余悸。,如今想來我都心有餘悸。,even today when I think about it， it scares me.
SAY.xiaojie.149.女学生晓洁,,要知道，那可是犯个错都不敢回家的岁数。”,要知道，那可是犯个错都不敢回家的岁数。”,要知道，那可是犯個錯都不敢回家的歲數。”,You have to know， that was a time where you didn't dare go home if you made a mistake.”
SAY.xiaojie.150.女学生晓洁,,“我喜欢农村，,“我喜欢农村，,“我喜歡農村，,“I like the countryside，
SAY.xiaojie.151.女学生晓洁,,或者说，喜欢爷爷奶奶在的乡下。,或者说，喜欢爷爷奶奶在的乡下。,或者說，喜歡爺爺奶奶在的鄉下。,Or， I like the countryside where Grandma and Grandpa are.
SAY.xiaojie.152.女学生晓洁,,找一个平坦的院坝，,找一个平坦的院坝，,找一個平坦的院壩，,Find a nice flat courtyard，
SAY.xiaojie.153.女学生晓洁,,打陀螺，跳格子，可以玩一天。,打陀螺，跳格子，可以玩一天。,打陀螺，跳格子，可以玩一天。,Spin your top， Play hopscotch， you can play all day.
SAY.xiaojie.154.女学生晓洁,,还有滚铁环，过家家，也是必不可少。,还有滚铁环，过家家，也是必不可少。,還有滾鐵環，過家家，也是必不可少。,Can't forget rolling rings and playing house.
SAY.xiaojie.155.女学生晓洁,,放牛的时候，,放牛的时候，,放牛的時候，,When letting the cows graze，
SAY.xiaojie.156.女学生晓洁,,去偷人家地里的玉米，在山里烤着吃。,去偷人家地里的玉米，在山里烤着吃。,去偷人家地裏的玉米，在山裏烤著吃。,You could steal the neighbor's corn and grill it up in the mountains to eat.
SAY.xiaojie.157.女学生晓洁,,路过山上的老坟时，总会被村里小孩吓到。,路过山上的老坟时，总会被村里小孩吓到。,路過山上的老墳時，總會被村裏小孩嚇到。,Passing through the graveyard up there， you'd get scared by the kids.
SAY.xiaojie.158.女学生晓洁,,一群女孩子，凑在一堆看男娃子打架。,一群女孩子，凑在一堆看男娃子打架。,一群女孩子，湊在一堆看男娃子打架。,A bunch of girls， watching a bunch of boys fighting.
SAY.xiaojie.159.女学生晓洁,,还有永远不变的，清晨各家各户的炊烟。,还有永远不变的，清晨各家各户的炊烟。,還有永遠不變的，清晨各家各戶的炊煙。,And something that never changes， every house's chimney smoke.
SAY.xiaojie.160.女学生晓洁,,不呛人，有饭香味。”,不呛人，有饭香味。”,不嗆人，有飯香味。”,It's not strong， and smells great.”
SAY.xiaojie.169.女学生晓洁,,这本书里还有很多有趣的段落。,这本书里还有很多有趣的段落。,這本書裏還有很多有趣的段落。,This book still has so many more parts.
SAY.xiaojie.170.女学生晓洁,,我要再好好品味。,我要再好好品味。,我要再好好品味。,I'm going to take my time enjoying it.
SAY.xiaochen.29.主角,,浩博？,浩博？,浩博？,Hao Bo?
SAY.xiaochen.32.邮递员小陈,,南哥。,南哥。,南哥。,Bro' Nan.
SAY.xiaochen.33.主角,,你不是坐办公室的吗？,你不是坐办公室的吗？,你不是坐辦公室的嗎？,Isn't this your office?
SAY.xiaochen.34.主角,,咋站在外面呀？,咋站在外面呀？,咋站在外面呀？,Why are you standing outside?
SAY.xiaochen.35.邮递员小陈,,唉……,唉……,唉……,Sigh...
SAY.xiaochen.36.邮递员小陈,,一言难尽。,一言难尽。,一言難盡。,It's a long story.
SAY.xiaochen.37.主角,,挨处分了？,挨处分了？,挨處分了？,Did you get punished?
SAY.xiaochen.38.邮递员小陈,,也不算处分吧……,也不算处分吧……,也不算處分吧……,Wouldn't say punish...
SAY.xiaochen.39.邮递员小陈,,领导说局里人手不足，需要重新调整劳动力。,领导说局里人手不足，需要重新调整劳动力。,領導說局裏人手不足，需要重新調整勞動力。,Boss said there aren't enough people working so we all have to adjust.
SAY.xiaochen.40.邮递员小陈,,所以让我去做邮递员。,所以让我去做邮递员。,所以讓我去做郵遞員。,So now I have to deliver the mail.
SAY.xiaochen.41.主角,,我也没见你送信呀？,我也没见你送信呀？,我也沒見你送信呀？,But I don't see you delivering Mail?
SAY.xiaochen.42.邮递员小陈,,可是我送信送的太慢，又被调回来了。,可是我送信送的太慢，又被调回来了。,可是我送信送的太慢，又被調回來了。,Because I was too slow so I got moved back.
SAY.xiaochen.43.邮递员小陈,,现在领导让我全天站在这个窗口前。,现在领导让我全天站在这个窗口前。,現在領導讓我全天站在這個窗口前。,Now I just stand in front of this window.
SAY.xiaochen.44.邮递员小陈,,给办事群众介绍各种业务怎么办理。,给办事群众介绍各种业务怎么办理。,給辦事群眾介紹各種業務怎麼辦理。,And tell people where to go to get their things done.
SAY.xiaochen.45.主角,,……你肯定做错事了。,……你肯定做错事了。,……你肯定做錯事了。,...You must have done something wrong.
SAY.xiaochen.46.邮递员小陈,,做错什么了？,做错什么了？,做錯什麼了？,What did I do wrong?
SAY.xiaochen.47.主角,,那我怎么知道？,那我怎么知道？,那我怎麼知道？,How would I know??
SAY.xiaochen.48.邮递员小陈,,领导对我的评价不错，说我工作都完成得好。,领导对我的评价不错，说我工作都完成得好。,領導對我的評價不錯，說我工作都完成得好。,I've gotten good reviews from my boss， they eve said I do a good job.
SAY.xiaochen.49.邮递员小陈,,那为什么又说我需要再锻炼一段时间呢？,那为什么又说我需要再锻炼一段时间呢？,那為什麼又說我需要再鍛煉一段時間呢？,Then why say I need some more experience?
SAY.xiaochen.50.邮递员小陈,,我去送信的时候，领导让我把地图背熟。,我去送信的时候，领导让我把地图背熟。,我去送信的時候，領導讓我把地圖背熟。,When I went to deliver mail， they made me memorize the map.
SAY.xiaochen.51.邮递员小陈,,他说，我不仅要搞清楚生活中的环境和道路。,他说，我不仅要搞清楚生活中的环境和道路。,他說，我不僅要搞清楚生活中的環境和道路。,They said， I not only have to know the roads and the area，
SAY.xiaochen.52.邮递员小陈,,还要弄明白，工作中的处境和形势。,还要弄明白，工作中的处境和形势。,還要弄明白，工作中的處境和形勢。,But I also have to understand what the situation is at work.
SAY.xiaochen.53.邮递员小陈,,这是什么意思啊？,这是什么意思啊？,這是什麼意思啊？,What does that mean?
SAY.xiaochen.54.邮递员小陈,,他们说我适应得太慢，没有根据实际做调整。,他们说我适应得太慢，没有根据实际做调整。,他們說我適應得太慢，沒有根據實際做調整。,They said I was adjusting too slow and not really working based on the reality of the situation.
SAY.xiaochen.55.邮递员小陈,,我觉得我挺适应的呀。,我觉得我挺适应的呀。,我覺得我挺適應的呀。,But I think I'm adjusting fine.
SAY.xiaochen.56.邮递员小陈,,原本负责送信的小伍，私拆信件被举报了。,原本负责送信的小伍，私拆信件被举报了。,原本負責送信的小伍，私拆信件被舉報了。,Xiao Wu who was originally responsible for delivering mail， got reported for opening private letters.
SAY.xiaochen.57.邮递员小陈,,听说可能会被判刑。,听说可能会被判刑。,聽說可能會被判刑。,I hear they could be convicted.
SAY.xiaochen.58.邮递员小陈,,领导问过我，咱们部门最重要的是什么。,领导问过我，咱们部门最重要的是什么。,領導問過我，咱們部門最重要的是什麼。,Boss asked me， what's the most important thing for our department.
SAY.xiaochen.59.邮递员小陈,,我说业绩，他说不对；我说奉献，还是不对。,我说业绩，他说不对；我说奉献，还是不对。,我說業績，他說不對；我說奉獻，還是不對。,I said， performance， they said wrong; I said dedication， they said wrong.
SAY.xiaochen.60.邮递员小陈,,他说，团结最重要。,他说，团结最重要。,他說，團結最重要。,They said， unity is the most important.
SAY.xiaochen.61.邮递员小陈,,领导说我学习没到位。,领导说我学习没到位。,領導說我學習沒到位。,Told me I didn't learn enough.
SAY.xiaochen.62.邮递员小陈,,没有掌握正确的方法和态度。,没有掌握正确的方法和态度。,沒有掌握正確的方法和態度。,I didn't get the correct method or attitude.
SAY.xiaochen.63.邮递员小陈,,没有融入集体。,没有融入集体。,沒有融入集體。,Didn't fit in.
SAY.xiaochen.64.邮递员小陈,,我也想跟大家混熟点。,我也想跟大家混熟点。,我也想跟大家混熟點。,I also want to be more familiar with everyone else.
SAY.xiaochen.65.邮递员小陈,,但是他们好像都不喜欢搭理我。,但是他们好像都不喜欢搭理我。,但是他們好像都不喜歡搭理我。,But they usually just ignore moe.
SAY.xiaochen.66.邮递员小陈,,我做事情都按章程办。,我做事情都按章程办。,我做事情都按章程辦。,I do everything by the book.
SAY.xiaochen.67.邮递员小陈,,为什么他们还说我没有规矩呢？,为什么他们还说我没有规矩呢？,為什麼他們還說我沒有規矩呢？,How come they still say I'm not following the rules?
SAY.laolitou.1.主角,,郑叔。,郑叔。,鄭叔。,Uncle Zheng.
SAY.laolitou.100.老厉头,,阿南。,阿南。,阿南。,Ah Nan.
SAY.laolitou.101.老厉头,,多久没来买书了？,多久没来买书了？,多久沒來買書了？,How long has it been since you bought a book?
SAY.laolitou.102.主角,,我不爱看书。,我不爱看书。,我不愛看書。,I don't like reading books.
SAY.laolitou.103.老厉头,,读史使人明智，读诗使人灵秀。,读史使人明智，读诗使人灵秀。,讀史使人明智，讀詩使人靈秀。,Reading history helps with wisdom， reading poetry helps with elegance.
SAY.laolitou.104.老厉头,,你什么都不读，会变成庸人的。,你什么都不读，会变成庸人的。,你什麼都不讀，會變成庸人的。,If you don't read anything， you'll just be mediocre.
SAY.laolitou.105.主角,,我本来就是。,我本来就是。,我本來就是。,I am mediocre.
SAY.laolitou.106.老厉头,,我给你讲个故事。,我给你讲个故事。,我給你講個故事。,Let me tell you a story.
SAY.laolitou.107.主角,,你先讲个大概，我看看我听过没有。,你先讲个大概，我看看我听过没有。,你先講個大概，我看看我聽過沒有。,Just give me a summary， let me see if I've heard it before.
SAY.laolitou.108.主角,,你经常重复讲的，听过我就不听了。,你经常重复讲的，听过我就不听了。,你經常重複講的，聽過我就不聽了。,You always repeat your stories， if I heard it before， I don't want to hear it again.
SAY.laolitou.109.老厉头,,人最大的劣根性，就是喜欢窝里斗。,人最大的劣根性，就是喜欢窝里斗。,人最大的劣根性，就是喜歡窩裏鬥。,A person's greatest weakness is infighting.
SAY.laolitou.110.主角,,哦，得了。,哦，得了。,哦，得了。,Oh， got it.
SAY.laolitou.111.主角,,这个我听过了。,这个我听过了。,這個我聽過了。,I heard this before.
SAY.laolitou.112.主角,,你在生产队的故事嘛，不用再讲了。,你在生产队的故事嘛，不用再讲了。,你在生產隊的故事嘛，不用再講了。,It's the story of when you were on the production team， you don't need to retell it.
SAY.laolitou.113.老厉头,,等一下！,等一下！,等一下！,Wait!
