Key,Description,Standard,Chinese,TraditionalChinese
SAY.xiaojie.109.女学生晓洁,,随着嘭的一声，爆米花就爆好了。,And “Boom” the popcorn is popped.,And “Boom” the popcorn is popped.
SAY.xiaojie.110.女学生晓洁,,更多的人也因此知道是他来了，,With that sound， more people would know he is here.,With that sound， more people would know he is here.
SAY.xiaojie.111.女学生晓洁,,纷纷回家拿点米，来换爆米花吃。,Everyone would go home and get some rice to barter for popcorn.,Everyone would go home and get some rice to barter for popcorn.
SAY.xiaojie.112.女学生晓洁,,真是一幅自然又幸福的画面。”,A very happy scene.”,A very happy scene.”
SAY.xiaojie.113.女学生晓洁,,“那时候上学路上是蔚蓝色天空，,“The sky was a bright blue color that day to school，,“The sky was a bright blue color that day to school，
SAY.xiaojie.114.女学生晓洁,,如茵草地里夹杂着泛白的石头。,There were white pebbles in the grass.,There were white pebbles in the grass.
SAY.xiaojie.115.女学生晓洁,,在村里上幼儿园时，,When I was going to kindergarten，,When I was going to kindergarten，
SAY.xiaojie.116.女学生晓洁,,要走过一段铺着煤渣的大马路。,we had to cross a big road covered with cinder.,we had to cross a big road covered with cinder.
SAY.xiaojie.117.女学生晓洁,,运煤车走过后留下一团团黑气，,The coal trucks would always leave a giant black cloud，,The coal trucks would always leave a giant black cloud，
SAY.xiaojie.118.女学生晓洁,,一起的小孩总会无意义地尖叫，,And the kids would always scream unintentionally，,And the kids would always scream unintentionally，
SAY.xiaojie.119.女学生晓洁,,然后兴冲冲把几块石头扔向离去的车的背影。,Then we would excitedly throw rocks a the leaving car.,Then we would excitedly throw rocks a the leaving car.
SAY.xiaojie.120.女学生晓洁,,我们一起在上学途中的山坡爬上爬下，,We would climb everywhere on the hill to school，,We would climb everywhere on the hill to school，
SAY.xiaojie.121.女学生晓洁,,在到达教室前，,And before getting to the classroom，,And before getting to the classroom，
SAY.xiaojie.122.女学生晓洁,,把自己弄成一只灰头土脸的脏猫。,we would look like dirty cats.,we would look like dirty cats.
SAY.xiaojie.123.女学生晓洁,,这并非无忧无虑的孩子的单纯放纵，,This wasn't just carefree kids letting loose，,This wasn't just carefree kids letting loose，
SAY.xiaojie.124.女学生晓洁,,富有心机的我们是有的放矢——,We had a plan and a goal to accomplish with it-,We had a plan and a goal to accomplish with it-
SAY.xiaojie.126.女学生晓洁,,记忆中有张模糊的面容总会放下手上的团扇，,A vague figure would always put down their round fan，,A vague figure would always put down their round fan，
SAY.xiaojie.127.女学生晓洁,,用湿毛巾一点一点温柔地擦拭我们的脸庞。,and wipe our faces gently with a wet towel.,and wipe our faces gently with a wet towel.
SAY.xiaojie.128.女学生晓洁,,那样，我们又能少上很久的课。”,That way， we would have less class time.”,That way， we would have less class time.”
SAY.xiaojie.129.女学生晓洁,,“妈妈总是带着打趣和调侃，,“Mom always loved to joke and tease，,“Mom always loved to joke and tease，
SAY.xiaojie.130.女学生晓洁,,讲述当初究竟是如何被爸爸‘欺骗”了。,And retell how Dad got “Tricked”.,And retell how Dad got “Tricked”.
SAY.xiaojie.131.女学生晓洁,,事情其实是这样的——,But really it went like this-,But really it went like this-
SAY.xiaojie.132.女学生晓洁,,爸爸为了在见相亲对象的时候，,When Dad was going on arranged dates，,When Dad was going on arranged dates，
SAY.xiaojie.133.女学生晓洁,,打扮得精神体面一些，,he would dress up nicely，,he would dress up nicely，
SAY.xiaojie.134.女学生晓洁,,特地借了爷爷单位的一身制服，,and he'd borrow a uniform from my Grandpa，,and he'd borrow a uniform from my Grandpa，
SAY.xiaojie.135.女学生晓洁,,结果被妈妈误以为是警察职业，,But mom would mistake him for a cop，,But mom would mistake him for a cop，
SAY.xiaojie.136.女学生晓洁,,妈妈对家里人声称就非这个人不嫁了。,So mom told her family she has to marry him.,So mom told her family she has to marry him.
SAY.xiaojie.137.女学生晓洁,,后来结了婚才知道原来是搞了大乌龙。,But only after they married was it a big misunderstanding，,But only after they married was it a big misunderstanding，
SAY.xiaojie.138.女学生晓洁,,那套并不是公安制服，而是电业局工作服。”,It wasn't a police officer uniform， but the uniform for the electricity department.”,It wasn't a police officer uniform， but the uniform for the electricity department.”
SAY.xiaojie.139.女学生晓洁,,“小学时的每天早晨，,“Every morning in grade school，,“Every morning in grade school，
SAY.xiaojie.140.女学生晓洁,,妈妈都会给我扎左右一边一个紧紧的麻花辫，,Mom would always give me pig tails，,Mom would always give me pig tails，
SAY.xiaojie.141.女学生晓洁,,当我回到学校，头皮一整天都是紧绷的。”,and when I go to school my scalp would be so tight.”,and when I go to school my scalp would be so tight.”
SAY.xiaojie.142.女学生晓洁,,“有一次，我们跑到即将收成的小麦地里玩，,“One time， we ran to the wheat fields to play， they were almost ready for harvesting，,“One time， we ran to the wheat fields to play， they were almost ready for harvesting，
SAY.xiaojie.143.女学生晓洁,,把那些庄稼毁坏到了无可救药的地步，,And we ruined those fields to where they couldn't be salvaged，,And we ruined those fields to where they couldn't be salvaged，
SAY.xiaojie.144.女学生晓洁,,最后被主人发现了，不让我们离开。,The owner found out， and wouldn't let us leavel.,The owner found out， and wouldn't let us leavel.
SAY.xiaojie.145.女学生晓洁,,直到通知了大人，,Until they told the adults，,Until they told the adults，
SAY.xiaojie.146.女学生晓洁,,父母来赔了钱，才能领我们走。,Parents had to pay money in order to take us home.,Parents had to pay money in order to take us home.
SAY.xiaojie.147.女学生晓洁,,当时爸爸的那个眼神，,The way my dad looked，,The way my dad looked，
SAY.xiaojie.148.女学生晓洁,,如今想来我都心有余悸。,even today when I think about it， it scares me.,even today when I think about it， it scares me.
SAY.xiaojie.149.女学生晓洁,,要知道，那可是犯个错都不敢回家的岁数。”,You have to know， that was a time where you didn't dare go home if you made a mistake.”,You have to know， that was a time where you didn't dare go home if you made a mistake.”
SAY.xiaojie.150.女学生晓洁,,“我喜欢农村，,“I like the countryside，,“I like the countryside，
SAY.xiaojie.151.女学生晓洁,,或者说，喜欢爷爷奶奶在的乡下。,Or， I like the countryside where Grandma and Grandpa are.,Or， I like the countryside where Grandma and Grandpa are.
SAY.xiaojie.152.女学生晓洁,,找一个平坦的院坝，,Find a nice flat courtyard，,Find a nice flat courtyard，
SAY.xiaojie.153.女学生晓洁,,打陀螺，跳格子，可以玩一天。,Spin your top， Play hopscotch， you can play all day.,Spin your top， Play hopscotch， you can play all day.
SAY.xiaojie.154.女学生晓洁,,还有滚铁环，过家家，也是必不可少。,Can't forget rolling rings and playing house.,Can't forget rolling rings and playing house.
SAY.xiaojie.155.女学生晓洁,,放牛的时候，,When letting the cows graze，,When letting the cows graze，
SAY.xiaojie.156.女学生晓洁,,去偷人家地里的玉米，在山里烤着吃。,You could steal the neighbor's corn and grill it up in the mountains to eat.,You could steal the neighbor's corn and grill it up in the mountains to eat.
SAY.xiaojie.157.女学生晓洁,,路过山上的老坟时，总会被村里小孩吓到。,Passing through the graveyard up there， you'd get scared by the kids.,Passing through the graveyard up there， you'd get scared by the kids.
SAY.xiaojie.158.女学生晓洁,,一群女孩子，凑在一堆看男娃子打架。,A bunch of girls， watching a bunch of boys fighting.,A bunch of girls， watching a bunch of boys fighting.
SAY.xiaojie.159.女学生晓洁,,还有永远不变的，清晨各家各户的炊烟。,And something that never changes， every house's chimney smoke.,And something that never changes， every house's chimney smoke.
SAY.xiaojie.160.女学生晓洁,,不呛人，有饭香味。”,It's not strong， and smells great.”,It's not strong， and smells great.”
SAY.xiaojie.169.女学生晓洁,,这本书里还有很多有趣的段落。,This book still has so many more parts.,This book still has so many more parts.
SAY.xiaojie.170.女学生晓洁,,我要再好好品味。,I'm going to take my time enjoying it.,I'm going to take my time enjoying it.
SAY.xiaochen.29.主角,,浩博？,Hao Bo?,Hao Bo?
SAY.xiaochen.32.邮递员小陈,,南哥。,Bro' Nan.,Bro' Nan.
SAY.xiaochen.33.主角,,你不是坐办公室的吗？,Isn't this your office?,Isn't this your office?
SAY.xiaochen.34.主角,,咋站在外面呀？,Why are you standing outside?,Why are you standing outside?
SAY.xiaochen.35.邮递员小陈,,唉……,Sigh...,Sigh...
SAY.xiaochen.36.邮递员小陈,,一言难尽。,It's a long story.,It's a long story.
SAY.xiaochen.37.主角,,挨处分了？,Did you get punished?,Did you get punished?
SAY.xiaochen.38.邮递员小陈,,也不算处分吧……,Wouldn't say punish...,Wouldn't say punish...
SAY.xiaochen.39.邮递员小陈,,领导说局里人手不足，需要重新调整劳动力。,Boss said there aren't enough people working so we all have to adjust.,Boss said there aren't enough people working so we all have to adjust.
SAY.xiaochen.40.邮递员小陈,,所以让我去做邮递员。,So now I have to deliver the mail.,So now I have to deliver the mail.
SAY.xiaochen.41.主角,,我也没见你送信呀？,But I don't see you delivering Mail?,But I don't see you delivering Mail?
SAY.xiaochen.42.邮递员小陈,,可是我送信送的太慢，又被调回来了。,Because I was too slow so I got moved back.,Because I was too slow so I got moved back.
SAY.xiaochen.43.邮递员小陈,,现在领导让我全天站在这个窗口前。,Now I just stand in front of this window.,Now I just stand in front of this window.
SAY.xiaochen.44.邮递员小陈,,给办事群众介绍各种业务怎么办理。,And tell people where to go to get their things done.,And tell people where to go to get their things done.
SAY.xiaochen.45.主角,,……你肯定做错事了。,...You must have done something wrong.,...You must have done something wrong.
SAY.xiaochen.46.邮递员小陈,,做错什么了？,What did I do wrong?,What did I do wrong?
SAY.xiaochen.47.主角,,那我怎么知道？,How would I know??,How would I know??
SAY.xiaochen.48.邮递员小陈,,领导对我的评价不错，说我工作都完成得好。,I've gotten good reviews from my boss， they eve said I do a good job.,I've gotten good reviews from my boss， they eve said I do a good job.
SAY.xiaochen.49.邮递员小陈,,那为什么又说我需要再锻炼一段时间呢？,Then why say I need some more experience?,Then why say I need some more experience?
SAY.xiaochen.50.邮递员小陈,,我去送信的时候，领导让我把地图背熟。,When I went to deliver mail， they made me memorize the map.,When I went to deliver mail， they made me memorize the map.
SAY.xiaochen.51.邮递员小陈,,他说，我不仅要搞清楚生活中的环境和道路。,They said， I not only have to know the roads and the area，,They said， I not only have to know the roads and the area，
SAY.xiaochen.52.邮递员小陈,,还要弄明白，工作中的处境和形势。,But I also have to understand what the situation is at work.,But I also have to understand what the situation is at work.
SAY.xiaochen.53.邮递员小陈,,这是什么意思啊？,What does that mean?,What does that mean?
SAY.xiaochen.54.邮递员小陈,,他们说我适应得太慢，没有根据实际做调整。,They said I was adjusting too slow and not really working based on the reality of the situation.,They said I was adjusting too slow and not really working based on the reality of the situation.
SAY.xiaochen.55.邮递员小陈,,我觉得我挺适应的呀。,But I think I'm adjusting fine.,But I think I'm adjusting fine.
SAY.xiaochen.56.邮递员小陈,,原本负责送信的小伍，私拆信件被举报了。,Xiao Wu who was originally responsible for delivering mail， got reported for opening private letters.,Xiao Wu who was originally responsible for delivering mail， got reported for opening private letters.
SAY.xiaochen.57.邮递员小陈,,听说可能会被判刑。,I hear they could be convicted.,I hear they could be convicted.
SAY.xiaochen.58.邮递员小陈,,领导问过我，咱们部门最重要的是什么。,Boss asked me， what's the most important thing for our department.,Boss asked me， what's the most important thing for our department.
SAY.xiaochen.59.邮递员小陈,,我说业绩，他说不对；我说奉献，还是不对。,I said， performance， they said wrong; I said dedication， they said wrong.,I said， performance， they said wrong; I said dedication， they said wrong.
SAY.xiaochen.60.邮递员小陈,,他说，团结最重要。,They said， unity is the most important.,They said， unity is the most important.
SAY.xiaochen.61.邮递员小陈,,领导说我学习没到位。,Told me I didn't learn enough.,Told me I didn't learn enough.
SAY.xiaochen.62.邮递员小陈,,没有掌握正确的方法和态度。,I didn't get the correct method or attitude.,I didn't get the correct method or attitude.
SAY.xiaochen.63.邮递员小陈,,没有融入集体。,Didn't fit in.,Didn't fit in.
SAY.xiaochen.64.邮递员小陈,,我也想跟大家混熟点。,I also want to be more familiar with everyone else.,I also want to be more familiar with everyone else.
SAY.xiaochen.65.邮递员小陈,,但是他们好像都不喜欢搭理我。,But they usually just ignore moe.,But they usually just ignore moe.
SAY.xiaochen.66.邮递员小陈,,我做事情都按章程办。,I do everything by the book.,I do everything by the book.
SAY.xiaochen.67.邮递员小陈,,为什么他们还说我没有规矩呢？,How come they still say I'm not following the rules?,How come they still say I'm not following the rules?
SAY.laolitou.1.主角,,郑叔。,Uncle Zheng.,Uncle Zheng.
SAY.laolitou.100.老厉头,,阿南。,Ah Nan.,Ah Nan.
SAY.laolitou.101.老厉头,,多久没来买书了？,How long has it been since you bought a book?,How long has it been since you bought a book?
SAY.laolitou.102.主角,,我不爱看书。,I don't like reading books.,I don't like reading books.
SAY.laolitou.103.老厉头,,读史使人明智，读诗使人灵秀。,Reading history helps with wisdom， reading poetry helps with elegance.,Reading history helps with wisdom， reading poetry helps with elegance.
SAY.laolitou.104.老厉头,,你什么都不读，会变成庸人的。,If you don't read anything， you'll just be mediocre.,If you don't read anything， you'll just be mediocre.
SAY.laolitou.105.主角,,我本来就是。,I am mediocre.,I am mediocre.
SAY.laolitou.106.老厉头,,我给你讲个故事。,Let me tell you a story.,Let me tell you a story.
SAY.laolitou.107.主角,,你先讲个大概，我看看我听过没有。,Just give me a summary， let me see if I've heard it before.,Just give me a summary， let me see if I've heard it before.
SAY.laolitou.108.主角,,你经常重复讲的，听过我就不听了。,You always repeat your stories， if I heard it before， I don't want to hear it again.,You always repeat your stories， if I heard it before， I don't want to hear it again.
SAY.laolitou.109.老厉头,,人最大的劣根性，就是喜欢窝里斗。,A person's greatest weakness is infighting.,A person's greatest weakness is infighting.
SAY.laolitou.110.主角,,哦，得了。,Oh， got it.,Oh， got it.
SAY.laolitou.111.主角,,这个我听过了。,I heard this before.,I heard this before.
SAY.laolitou.112.主角,,你在生产队的故事嘛，不用再讲了。,It's the story of when you were on the production team， you don't need to retell it.,It's the story of when you were on the production team， you don't need to retell it.
SAY.laolitou.113.老厉头,,等一下！,Wait!,Wait!
SAY.laolitou.114.老厉头,,同样的道理，还有另外一个故事！,There's another story with the same moral!,There's another story with the same moral!
SAY.laolitou.115.主角,,……你讲你讲。,...Fine go ahead.,...Fine go ahead.
SAY.laolitou.116.老厉头,,那天有两个娃仔，来我们店买漫画。,That day， there were two kids who wanted to buy some manhua.,That day， there were two kids who wanted to buy some manhua.
SAY.laolitou.117.老厉头,,买了两本《八凤珠》，两本《机器狗》。,Bought two copies of “Eight Phoenix Pearls”， two of “Robot Dog”,Bought two copies of “Eight Phoenix Pearls”， two of “Robot Dog”
SAY.laolitou.118.主角,,嗯，这段没听过。,Hm， I haven't heard this before.,Hm， I haven't heard this before.
SAY.laolitou.119.主角,,你继续。,Go on.,Go on.
SAY.laolitou.120.老厉头,,他们刚走出去没多远，就碰见另外三个学生。,They walked a short distance before running into three other students.,They walked a short distance before running into three other students.
SAY.laolitou.121.老厉头,,估计是初中生，或者是六年级的。,I'm guessing they were middle school， maybe sixth grade.,I'm guessing they were middle school， maybe sixth grade.
SAY.laolitou.122.老厉头,,他们的钱就挨这三个人抢走啦。,Their money was taken by those three.,Their money was taken by those three.
SAY.laolitou.123.老厉头,,一个挨抢了几块，另外一个挨抢了几十块。,One had a few bucks stolen， and the other had a few dozen stolen.,One had a few bucks stolen， and the other had a few dozen stolen.
SAY.laolitou.124.老厉头,,抢完还要追着他们打。,After robbing them， the thieves even chased and beat them.,After robbing them， the thieves even chased and beat them.
SAY.laolitou.125.主角,,那你不去救他们？,And you didn't go help them?,And you didn't go help them?
SAY.laolitou.126.老厉头,,去啦！,I did!,I did!
SAY.laolitou.127.老厉头,,那三个马上跑了！,Those three ran off immediately!,Those three ran off immediately!
SAY.laolitou.128.主角,,现在这帮仔，坏哦。,Kids these days are terrible， you know.,Kids these days are terrible， you know.
SAY.laolitou.129.老厉头,,问题的关键是第二天。,The problem was the next day.,The problem was the next day.
SAY.laolitou.130.老厉头,,学校来找我们，你晓得为什么咩？,The school came by， do you know why?,The school came by， do you know why?
SAY.laolitou.131.主角,,为什么？,Why?,Why?
SAY.laolitou.132.老厉头,,挨抢的其中一个的妈，觉得是另一个设计的。,One of the victims' moms thought the other kid had planned it all.,One of the victims' moms thought the other kid had planned it all.
SAY.laolitou.133.老厉头,,串通那三个人抢她仔。,Planned it with those other three to rob her kid.,Planned it with those other three to rob her kid.
SAY.laolitou.134.老厉头,,她找到了学校，又找了另外那个的家长。,She went to school， found the other's parents.,She went to school， found the other's parents.
SAY.laolitou.135.老厉头,,一心要毁了那个娃仔。,She was determined to ruin that boy.,She was determined to ruin that boy.
SAY.laolitou.136.老厉头,,好在学校来问我，我就给那个娃仔作证。,Fortunately， the school came to ask me,Fortunately， the school came to ask me
SAY.laolitou.137.老厉头,,我证明他也是受害者。,I testified that the other kid was also a victim.,I testified that the other kid was also a victim.
SAY.laolitou.138.老厉头,,你讲，这件事情是不是很荒谬？,Isn't that ridiculous?,Isn't that ridiculous?
SAY.laolitou.139.老厉头,,人性是不是很丑恶？,Human nature is ugly， isn't it?,Human nature is ugly， isn't it?
SAY.laolitou.140.主角,,是。,It is.,It is.
SAY.laolitou.141.老厉头,,窝里斗不可取啊！,Infighting isn't worth it.,Infighting isn't worth it.
SAY.laolitou.142.老厉头,,你要多读书，才能读懂人性。,You have to read more， so you can understand people more.,You have to read more， so you can understand people more.
SAY.laolitou.143.主角,,没得空读啊。,I have no time.,I have no time.
SAY.laolitou.144.主角,,我工作也可以了解的。,I can learn through work.,I can learn through work.
SAY.laolitou.145.老厉头,,哼。,Hmph.,Hmph.
SAY.laolitou.146.老厉头,,子曰：学而不思则罔，思而不学则殆。,Confucius says: To learn without thinking is confusing， to think without learning is dangerous.,Confucius says: To learn without thinking is confusing， to think without learning is dangerous.
SAY.laolitou.147.老厉头,,你这样是不行的。,You can't be like this.,You can't be like this.
SAY.laolitou.148.老厉头,,你不买也行。,You don't have to buy.,You don't have to buy.
SAY.laolitou.149.老厉头,,进来看吧，给你凳子。,Just come in and browse， I'll get you a seat.,Just come in and browse， I'll get you a seat.
SAY.laolitou.150.老厉头,,莫站在外面。,Don't stand outside.,Don't stand outside.
SAY.laolitou.151.主角,,不坐了，有事做。,No thanks， I have things to do.,No thanks， I have things to do.
SAY.laolitou.152.老厉头,,我看了快二十年的书，摘抄了五十本笔记。,I've read for almost twenty years， I have fifty notebooks of notes.,I've read for almost twenty years， I have fifty notebooks of notes.
SAY.laolitou.153.老厉头,,摆满了家里三个书架。,Three bookshelves full at home.,Three bookshelves full at home.
SAY.laolitou.154.老厉头,,你读书，可以先专门读某个类别。,When you read， you can focus on a genre first.,When you read， you can focus on a genre first.
SAY.laolitou.155.老厉头,,也可以泛读各种类别。,Or you can just read all kinds of books.,Or you can just read all kinds of books.
SAY.laolitou.156.老厉头,,只要读进脑里了，都是有益的。,As long as you read it and take it to your heart， it'll be good.,As long as you read it and take it to your heart， it'll be good.
SAY.laolitou.157.老厉头,,你不是专门搞学术的，读点通识类的就得了。,You're not doing science or anything， so just general knowledge is good.,You're not doing science or anything， so just general knowledge is good.
SAY.laolitou.158.老厉头,,人物文史，社会科学。,Biography， history， social studies.,Biography， history， social studies.
SAY.laolitou.159.老厉头,,我的笔记都贴了标签。,My notes have it all marked.,My notes have it all marked.
SAY.laolitou.160.老厉头,,文学啊，文化啊，历史和政治啊。,Literature， Culture， History， Government， all that.,Literature， Culture， History， Government， all that.
SAY.laolitou.161.老厉头,,有的是摘抄，有的是心得体会。,Some excerpts， some of my own thoughts.,Some excerpts， some of my own thoughts.
SAY.laolitou.162.老厉头,,我还剪报呢。,I even have newspaper clippings.,I even have newspaper clippings.
SAY.laolitou.163.老厉头,,从八十年代就开始了。,I started from the Eighties.,I started from the Eighties.
SAY.laolitou.164.老厉头,,每年都订十来种报纸，读完就剪。,Every year， I order dozens of newspapers. When I'm done reading， I clip them.,Every year， I order dozens of newspapers. When I'm done reading， I clip them.
